City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,necocli,8.4234,-76.786,26.19,87,13,3.79,CO,1688389878
135,khor,47.8861,134.9464,18.24,62,15,2.12,RU,1688389879
136,hammerfest,70.6634,23.6821,14.25,51,0,6.69,NO,1688389879
137,tibati,6.4667,12.6333,26.86,70,83,1.86,CM,1688389880
138,kapa'a,22.0752,-159.319,26.18,87,40,4.63,US,1688389880
139,new norfolk,-42.7826,147.0587,5.4,87,100,0.56,AU,1688389881
140,kailua-kona,19.6406,-155.9956,27.0,88,20,2.06,US,1688389623
141,yanchep,-31.55,115.6833,13.4,77,80,8.24,AU,1688389882
142,san clemente del tuyu,-36.3569,-56.7235,13.45,95,100,5.42,AR,1688389882
143,margaret river,-33.95,115.0667,11.87,72,97,9.63,AU,1688389883
144,machina,13.1364,10.0492,38.89,21,25,0.93,NG,1688389883
145,embi,48.8264,58.1442,27.57,32,30,7.61,KZ,1688389884
146,stanley,54.868,-1.6985,18.06,60,20,8.23,GB,1688389694
147,ilulissat,69.2167,-51.1,13.01,41,40,9.26,GL,1688389885
148,n'zeto,-7.2312,12.8666,24.8,72,3,4.4,AO,1688389885
149,fale old settlement,-9.3852,-171.2468,28.49,67,9,7.7,TK,1688389886
150,bredasdorp,-34.5322,20.0403,18.13,60,86,4.67,ZA,1688389886
151,whitehorse,60.7161,-135.0538,10.45,75,0,5.66,CA,1688389886
152,hadibu,12.65,54.0333,27.49,66,100,8.76,YE,1688389887
153,kingston,17.997,-76.7936,29.58,76,100,0.45,JM,1688389712
154,verkhnevilyuysk,63.4453,120.3167,19.92,65,98,2.04,RU,1688389888
155,la sarre,48.8002,-79.1996,22.66,68,0,1.35,CA,1688389888
156,beyneu,45.3167,55.2,33.58,23,35,6.62,KZ,1688389889
157,rawlins,41.7911,-107.2387,14.94,41,0,1.54,US,1688389749
158,afaahiti,-17.75,-149.2833,24.93,85,60,7.85,PF,1688389889
159,balaguer,41.7912,0.8109,33.98,30,7,1.75,ES,1688389890
160,west island,-12.1568,96.8225,25.99,73,40,5.66,CC,1688389890
161,korla,41.7597,86.1469,33.71,12,0,4.05,CN,1688389891
162,kavalerovo,44.2661,135.0572,15.93,99,98,0.55,RU,1688389891
163,kodinsk,58.6881,99.1844,19.45,61,100,2.22,RU,1688389892
164,petrovsk,52.3064,45.3917,25.54,69,34,5.89,RU,1688389892
165,cockburn town,21.4612,-71.1419,28.09,81,11,7.45,TC,1688389893
166,sao joao da barra,-21.6403,-41.0511,21.05,56,93,7.54,BR,1688389894
167,shengli,37.4564,118.4856,31.16,54,100,1.96,CN,1688389894
168,port-gentil,-0.7193,8.7815,27.98,61,20,6.69,GA,1688389895
169,sault ste. marie,46.5168,-84.3333,19.16,81,0,4.12,CA,1688389895
170,masumbwe,-3.6333,32.1833,29.33,28,54,2.54,TZ,1688389896
171,enewetak,11.3474,162.3373,28.11,79,100,7.7,MH,1688389896
172,khandyga,62.6667,135.6,21.63,77,69,2.08,RU,1688389897
173,patacamaya,-17.2333,-67.9167,9.3,18,1,0.5,BO,1688389898
174,geraldton,-28.7667,114.6,16.23,88,75,3.6,AU,1688389898
175,kincardine,56.0667,-3.7167,17.15,70,98,7.44,GB,1688389899
176,santo antonio,-6.3106,-35.4789,28.42,65,48,5.63,BR,1688389899
177,lhokseumawe,5.1801,97.1507,27.33,79,56,0.4,ID,1688389728
178,kone,-21.0595,164.8658,18.06,78,100,1.92,NC,1688389900
179,chonchi,-42.6128,-73.8092,8.56,86,100,4.65,CL,1688389901
180,bageshwar,29.85,79.7667,25.82,84,35,1.22,IN,1688389902
181,vadso,70.0744,29.7487,10.49,81,75,2.06,NO,1688389902
182,ekuvukeni,-28.4675,30.1551,24.06,13,0,0.31,ZA,1688389903
183,tosontsengel,48.7567,98.2839,9.4,82,100,2.05,MN,1688389903
184,illizi,26.4833,8.4667,44.89,6,5,2.62,DZ,1688389904
185,bandiagara,14.3501,-3.6104,36.21,33,39,3.82,ML,1688389905
186,san jose,37.3394,-121.895,17.6,77,20,2.57,US,1688389775
187,knyaze-volkonskoye,48.4642,135.4567,19.19,72,75,1.48,RU,1688389905
188,filadelfia,39.9523,-75.1638,28.34,82,75,2.57,US,1688389681
189,howard springs,-12.497,131.047,24.95,56,96,3.83,AU,1688389906
190,nallihan,40.1859,31.3518,32.73,22,63,2.76,TR,1688389907
191,flying fish cove,-10.4217,105.6791,23.82,78,22,4.63,CX,1688389907
192,benjamin constant,-4.3831,-70.0311,26.03,78,0,1.54,BR,1688389907
193,bel ombre,-4.6167,55.4167,26.91,69,20,5.14,SC,1688389908
194,vorgashor,67.5833,63.95,22.77,63,100,5.4,RU,1688389909
195,mthatha,-31.5889,28.7844,26.31,18,0,1.03,ZA,1688389909
196,dunedin,-45.8742,170.5036,10.45,61,94,5.81,NZ,1688389729
197,college,64.8569,-147.8028,15.99,70,75,0.0,US,1688389910
198,utrik,11.2278,169.8474,28.08,77,62,7.67,MH,1688389911
199,kodiak,57.79,-152.4072,8.73,93,100,7.2,US,1688389911
200,brisas de zicatela,15.8369,-97.0419,26.29,73,40,4.63,MX,1688389912
201,vila velha,-20.3297,-40.2925,22.97,69,40,5.66,BR,1688389912
202,wuzhou,23.4833,111.3167,26.16,92,100,1.2,CN,1688389913
203,mejit,10.2753,170.8646,28.21,78,17,7.74,MH,1688389913
204,chegdomyn,51.1167,133.0167,18.95,59,14,1.6,RU,1688389914
205,porto velho,-8.7619,-63.9039,28.03,78,0,0.51,BR,1688389686
206,guarapari,-20.6667,-40.4975,21.61,65,38,7.76,BR,1688389775
207,thompson,55.7435,-97.8558,15.09,94,75,4.12,CA,1688389915
208,kapuskasing,49.4169,-82.4331,23.05,68,0,1.54,CA,1688389915
209,kalmunai,7.4167,81.8167,27.35,81,100,3.76,LK,1688389916
210,melfort,52.8667,-104.6177,13.07,71,100,8.75,CA,1688389916
211,tsiombe,-25.3,45.4833,22.36,57,2,6.37,MG,1688389916
212,askino,56.0901,56.5783,24.29,57,78,2.2,RU,1688389917
213,kiffa,16.6166,-11.4045,37.88,29,19,3.4,MR,1688389917
214,udachny,66.4167,112.4,16.1,53,1,5.61,RU,1688389918
215,la passe,45.5549,-0.8967,24.13,76,96,4.7,FR,1688389918
216,okha,53.5739,142.9478,8.7,94,20,2.94,RU,1688389919
217,christchurch,-43.5333,172.6333,5.53,77,0,2.06,NZ,1688389652
218,price,39.5994,-110.8107,17.59,39,0,0.0,US,1688389919
219,saynshand,44.8824,110.1163,16.69,69,1,3.07,MN,1688389920
220,polyarnyy,69.1989,33.4478,9.52,91,100,4.48,RU,1688389921
221,hun,29.1268,15.9477,37.64,21,0,4.07,LY,1688389921
222,sinhyeon,34.8825,128.6267,24.94,96,100,3.11,KR,1688389922
223,invercargill,-46.4,168.35,9.86,91,100,9.53,NZ,1688389838
224,gwadar,25.1216,62.3254,29.76,74,15,4.81,PK,1688389923
225,uturoa,-16.7333,-151.4333,26.56,81,38,6.44,PF,1688389924
226,shelton,41.3165,-73.0932,26.6,77,40,3.09,US,1688389924
227,pacific grove,36.6177,-121.9166,13.78,95,100,2.57,US,1688389925
228,chiguayante,-36.9167,-73.0167,10.29,94,75,4.63,CL,1688389926
229,dursunbey,39.586,28.6257,30.07,33,28,4.21,TR,1688389926
230,pionerskiy,54.9508,20.2275,20.91,62,77,8.31,RU,1688389927
231,callao,-12.0667,-77.15,22.16,68,100,2.06,PE,1688389927
232,tazacorte,28.629,-17.9293,25.54,65,75,5.66,ES,1688389928
233,kuressaare,58.2481,22.5039,16.97,72,40,8.75,EE,1688389928
234,daru,-9.0763,143.2092,26.23,88,100,4.63,PG,1688389929
235,san matias,-16.3667,-58.4,24.99,34,20,1.28,BO,1688389877
236,usogorsk,63.4106,48.6872,22.48,48,98,2.89,RU,1688389930
237,bernardo de irigoyen,-26.2552,-53.6458,16.96,71,6,1.93,AR,1688389930
238,puerto baquerizo moreno,-0.9,-89.6,24.53,82,99,6.02,EC,1688389931
239,chernyshevskiy,63.0128,112.4714,18.93,67,100,1.09,RU,1688389932
240,jatiroto,-7.8833,111.1167,22.34,90,96,2.26,ID,1688389932
241,megion,61.0296,76.1136,26.01,49,57,4.94,RU,1688389933
242,coquimbo,-29.9533,-71.3436,10.85,66,0,1.03,CL,1688389933
243,margate,51.3813,1.3862,21.5,57,100,4.92,GB,1688389713
244,misliyah,17.4599,42.5572,36.95,35,95,7.22,SA,1688389934
245,nikolayevsk-on-amure,53.1406,140.73,12.13,88,49,1.17,RU,1688389934
246,torghay,49.6339,63.4981,25.64,37,92,4.92,KZ,1688389935
247,alice springs,-23.7,133.8833,9.75,71,100,2.06,AU,1688389654
248,tura,25.5198,90.2201,24.22,96,100,1.28,IN,1688389936
249,kamaishi,39.2667,141.8833,18.28,95,82,1.35,JP,1688389936
250,cannonvale,-20.2833,148.7,23.66,87,100,6.07,AU,1688389937
251,taulaga,-11.0553,-171.0883,28.39,73,53,8.16,AS,1688389937
252,dubbo,-32.25,148.6167,11.07,87,100,3.6,AU,1688389938
253,mount gambier,-37.8333,140.7667,8.0,83,100,2.57,AU,1688389938
254,crane,31.3974,-102.3501,24.04,72,32,2.4,US,1688389939
255,quimili,-27.6333,-62.4167,22.89,43,60,6.99,AR,1688389939
256,tokar,18.4254,37.729,39.86,23,100,3.91,SD,1688389940
257,kismayo,-0.3582,42.5454,26.74,69,18,8.39,SO,1688389940
258,bikenibeu village,1.3673,173.1241,26.98,89,75,1.03,KI,1688389941
259,cole harbour,44.6724,-63.4751,19.54,98,100,2.24,CA,1688389768
260,kushiro,42.975,144.3747,14.37,98,70,1.89,JP,1688389942
261,aromashevo,56.8602,68.6375,26.89,66,62,4.1,RU,1688389942
262,norrkoping,58.5942,16.1826,15.66,72,75,8.75,SE,1688389854
263,khedbrahma,24.0333,73.05,34.33,53,100,3.43,IN,1688389943
264,manokwari,-0.8667,134.0833,25.9,86,75,1.09,ID,1688389944
265,yerkoy,39.6381,34.4672,33.62,19,19,2.01,TR,1688389944
266,pangody,65.85,74.4859,23.77,63,100,5.59,RU,1688389945
267,ado-odo,6.6,2.9333,29.05,72,97,3.87,NG,1688389945
268,saurimo,-9.6608,20.3916,29.93,15,0,4.15,AO,1688389945
269,njombe,-9.3333,34.7667,18.34,41,7,4.56,TZ,1688389946
270,ubari,26.5921,12.7805,42.2,8,0,1.8,LY,1688389946
271,anan,33.9167,134.65,23.25,92,0,1.23,JP,1688389947
272,acarau,-2.8856,-40.12,29.5,64,16,5.96,BR,1688389763
273,sept-iles,50.2001,-66.3821,18.29,99,100,2.57,CA,1688389948
274,jiangzi,28.95,89.6333,13.62,48,100,2.37,CN,1688389936
275,bekalta,35.6174,10.9947,31.01,48,0,4.9,TN,1688389950
276,sambalpur,21.45,83.9667,31.95,57,87,1.3,IN,1688389951
277,tarakan,3.3,117.6333,26.72,94,40,3.6,ID,1688389952
278,carnarvon,-24.8667,113.6333,18.45,68,0,5.0,AU,1688389875
279,tolanaro,-25.0319,46.9987,21.99,62,5,5.87,MG,1688389953
